id,pages,year,title,author,price,dimensions,materials,description,reference,images,publisher,edition,binding,isbn
25,,,Galley Tray / Type Setting Deposit for Studio Rental,,50.0,,,"Setting type at CBA requires a $50 deposit. Typesetters can have type in use for up to 3 months. After type is redistributed, the deposit can be returned or applied to future typesetting or studio rental. After purchase pick up your galley tray at the front desk. Galley trays must be stored in the galley cabinet that corresponds to the tray number and all type ID information must be recorded in the galley binder. Please ask if you need guidance on typesetting policies. All CBA studio users must first take the Studio Rental Training Course, which you can enroll in on the workshop page.  All CBA studio users must first take the Studio Rental Training Course, which you can enroll in on the workshop page.  workshop page. All CBA studio users must be members of Center for Book Arts. You can become a member or renew your membership here. All CBA studio users must be members of Center for Book Arts. You can become a member or renew your membership here. here.",,"['https://centerforbookarts.org/wp-content/uploads/2023/07/type_lowell_bodger-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/07/galleys_1-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/07/type-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/07/galleys_2-scaled.jpg']",,,,
26,,,Additional Storage for Studio Rental,,,,,"Add on storage space to any rental type. Storage is rented by the month. Renters can add a shelf for $100 per month or a flat file drawer for $50 per month. Renting storage space also requires a deposit equivalent to one month’s rent, which can be returned or applied to a future rental after the rental period is over. Please inquire with studio@centerforbookarts.org to make sure we have a space available before you purchase. Storage rental can be on a month to month or recurring basis. By signing up for a recurring rental you are agreeing to have your rental automatically renew each month. Please contact studio@centerforbookarts.org to cancel at any time. After purchase please contact the studio coordinator at studio@centerforbookarts.org to start your storage rental. All CBA studio users must first take the Studio Rental Training Course, which you can enroll in on the workshop page.  All CBA studio users must first take the Studio Rental Training Course, which you can enroll in on the workshop page.  workshop page. All CBA studio users must be members of Center for Book Arts. You can become a member or renew your membership here. All CBA studio users must be members of Center for Book Arts. You can become a member or renew your membership here. here.",,"['https://centerforbookarts.org/wp-content/uploads/2023/07/flat_files-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/07/shelves-scaled.jpg']",,,,
27,,2023.0,Department of N.S.A. (No Strings Attached) – Office of Memorandums [Extracts] Vol. 1,Rodrigo Moreira,40.0,3.5 x 5 inches,,Artists’ book resembling a US passport with navy blue leatherette covers. Risograph printed interior.,,['https://centerforbookarts.org/wp-content/uploads/2023/07/IMG_3507.gif'],Center for Book Arts,50,Artist Book,
28,,,Kick Activist,Laura Nova,,5 × 7 in | 12.7 × 17.8 cm,"['Digital Printing', 'Offset']","Kung Fu Master Poa Shen Wong, a nonagenarian immigrant from Hong Kong teaches her martial arts at the Little Flower Park Basketball Court in our Lower East Side neighborhood. In the documentary video, Poa describes how a meditation group attempted to take over her exercise turf, but Poa fights back and reclaims her territory in the public park, while also offering us her exercise sequence. To encourage both activist and active audience participation, Poa offers us her exercise sequence of 36 movements. In sharing her technique and her secrets of longevity, Poa hopes to plant seeds to take root for the next generation. In service of her goal, Laura Nova created these kick cards to allow audiences step-by-step guidance.",,"['https://centerforbookarts.org/wp-content/uploads/2023/09/LauraNova_KickCards.png', 'https://centerforbookarts.org/wp-content/uploads/2023/09/LauraNova_KickCards.1-2-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/09/LauraNova_KickCards.2-2-scaled.jpg']",Laura Nova,,Giant size card deck with custom tuck case,
29,52.0,2022.0,ÆROTOMANIA FLIGHT DECK,Adeena Karasick,50.0,4.5 x 6.5 inches,,"In the wake of Covid, of not being able to travel as much as we liked, I began thinking about how the airplane as an erotic theater, a social text of secret motives, is structured like a language. As both a love letter and a lament to the airplane, it speaks to ways both individuals and meaning get transported to multiple and sometimes unexpected destinations; and how, like language itself, the airplane becomes a symbol of hope. As a border-blurring text incorporating elements of visual poetry/concrete work, asemic/sound poetry, theoretical discourse, and poetic, philosophical, and Kabbalistic aphorisms, Ærotomania highlights how language–an ever-swirling palimpsest of spectral voices, textures, whispers, and codes–transports us through passion, politics, pleasure, and promise as we negotiate loss and light towards new ways of seeing and being; and, like the airplane, flies through a variety of zones and registers, soaring to higher and higher levels, carrying its passengers through radically transformative possibilities. And though it can be read “in order,” it is organized as a “Shuffle Deck,” as often meaning get rerouted, or hijacked and thus can be read in any order whereby each card becomes a step in a trans/slantic journey of intermediatic play.",,"['https://centerforbookarts.org/wp-content/uploads/2023/07/AEROTOMAnia-flight-deck-cover-.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/07/23-08-29-deck-1.png', 'https://centerforbookarts.org/wp-content/uploads/2023/07/Deck-Design_Karasick-1-1.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/07/Deck-Design_Karasick-1-29.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/07/Deck-Design_Karasick-1-48.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/07/Deck-Design_Karasick-1-50.jpg']",NuJu Books,,full color boxed deck of cards,979-888680011-1
30,,2023.0,Bookmarks by Slavko,Slavko Djuric,6.5,2 x 7 inches,,"Following the first edition of popsicle shaped bookmarks titled ‘And every time you read a book, someone eats your ice-cream’, this summer we are happy to enhance your solitary reading activities in-the-sun with an ice-cream cone shaped bookmarks. One cone per order, all bookmarks are unique. unique",,"['https://centerforbookarts.org/wp-content/uploads/2023/07/bookmarks-3.gif', 'https://centerforbookarts.org/wp-content/uploads/2023/07/bookmarks-2.gif', 'https://centerforbookarts.org/wp-content/uploads/2023/07/bookmarks-1.gif']",,Variable edition of 314,linocut bookmarks with collaged elements from various leftover prints,
31,,,Hourly Studio Rental,,,,,"Purchase hours in increments of 1, 6 or 15 hours. 6 and 15 hour purchases include a discount on the $15 per hour regular hourly cost and renters will receive a punch card. Punch card hours must be used within one year of purchase date. Hourly renters may use the studio from 10 a.m. to 6 p.m., Monday through Friday and 10 a.m. to 5 p.m. on Saturday. The Center is closed to the public on Sundays. For more info about studio rental check out the studio page. the studio page. After purchasing this item online, please pick up your punch card at the front desk. All CBA studio users must first take the Studio Rental Training Course, which you can enroll in on the workshop page.  All CBA studio users must first take the Studio Rental Training Course, which you can enroll in on the workshop page.  workshop page. All CBA studio users must be members of Center for Book Arts. You can become a member or renew your membership here. All CBA studio users must be members of Center for Book Arts. You can become a member or renew your membership here. here.",,"['https://centerforbookarts.org/wp-content/uploads/2023/06/cba_15hr_rental_card.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/06/cba_6hr_rental_card.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/06/nipping_presses-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/06/bindery_2-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/06/IMG_7430-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/06/IMG_7446-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/06/22-12-13_with-Oswaldo-and-Caslon-scaled.jpg']",,,,
32,,,Monthly Basic Studio Rental,,,,,"The basic monthly rental gives renters unlimited access to CBA’s studios during regular business hours.  This option is perfect for renters who need more time in the studio but may be new to CBA. Storage is not included with this rental option, but you may add on a flat file drawer or storage shelf for an additional monthly fee. Adding storage requires a $50 deposit for a flat file and a $100 deposit for a shelf. With this rental option, the studio may be accessed from 10 a.m. to 6 p.m., Monday through Friday and 10 a.m. to 5 p.m. on Saturday. The Center is closed to the public on Sundays. Monthly renters can choose to rent for one month, or to sign up for a monthly recurring membership. By signing up for a recurring rental you are agreeing to have your rental automatically renew each month. Please contact studio@centerforbookarts.org to cancel at any time. After purchase please contact the studio coordinator at studio@centerforbookarts.org to begin your monthly rental. All CBA studio users must first take the Studio Rental Training Course, which you can enroll in on the workshop page.  All CBA studio users must first take the Studio Rental Training Course, which you can enroll in on the workshop page.  workshop page. All CBA studio users must be members of Center for Book Arts. You can become a member or renew your membership here. All CBA studio users must be members of Center for Book Arts. You can become a member or renew your membership here. here.",,"['https://centerforbookarts.org/wp-content/uploads/2023/06/22-12-13_with-Oswaldo-and-Caslon-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/06/nipping_presses-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/06/bindery_2-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/06/IMG_7430-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/06/IMG_7446-scaled.jpg']",,,,
33,84.0,2023.0,BAR Issue 2: Hidden Parts of Publishing,,,7 x 10 inches,"['Offset', 'Risograph', 'Letterpress', 'Digital']","Features Matvei Yankelevich Paige Landesberg Claudia de la Torre Reviews Jennie Hinchcliff  Deep Time Katy Nelson  Utopia Myopia Philo Cohen Tender Noted Vivian Sming Separadores/Bookmarks Allie Haeusslein Houseplants WELCOME TO ISSUE 2 OF Book Art Review and thank you for your continued interest and support. While we have encountered a few obstacles in the production of the print edition of the magazine, we are greatly encouraged by the response we have received to the initiative and to the contents of Issue 1 online. We continue to see enthusiasm for a platform to engage with the artists’ book as an object and discuss how and why it works as an object—and for building and expanding a community with whom to share the excitement and fun of such conversations. 2022 has seen the return of in-person book fairs and the opportunity to come together to look at and talk about artists’ books along with questions of social responsibility, sustainability, and ethics. These topics are important parts of BAR and we hope you will join us in this dialogue. Add your voice and let us know what you think of our direction, design, and ideas and pitch us with your writing. Book Art Review  With Issue 2, we examine the “Hidden Parts of Design and Publishing.” How do the decisions that unfold during the process of bringing an artists’ book from conception to delivery reflect tradeoffs between an artist’s ideas and practical constraints of design, materials, and production? How do discussions between the collaborators impact the book? And how do the economics of the book shape the content and form? We are excited to have a range of writers exploring these questions across a broad spectrum of codex and non-traditional forms of the book. For Issue 2, we have partnered with Clifton Meador and his students at Appalachian State University to work on the design and production of this issue and are including their thoughts on going through this process with us. Finally, thank you for your patience as we smooth out our processes and settle on a more regular semi-annual cadence. Sincerely, The Editors Book Art Review (BAR) is a semiannual magazine dedicated to providing a forum for critical writing about book art and artist books. Book Art Review Book Art Review publishes two issues per year, with the first issue launching in Fall 2021. We want to raise the bar for book art criticism! BAR is our plan to make book art criticism more visible and more valuable, and to engage with a diverse group of writers and readers. Our launching manifesto calls for “New Book Art Criticism,” and in building that, our magazine will showcase a new kind of writing about artist books, one that focuses on the material, paginated, object qualities of the book. Book Art Review",,['https://centerforbookarts.org/wp-content/uploads/2022/08/IMG_3336-scaled.jpg'],Center for Book Arts,,Perfect Bound Softcover,
34,33.0,2022.0,E unum pluribus,Slavko Djuric,600.0,7.25x10,"['Woodcut', 'Intaglio', 'Linocut', 'Slipcase']","E unum pluribus (Many within One) is a set of unbound prints composed from 20 linocuts overprinted in numerous press runs. While their visual likeness suggests interconnectedness, each print exists as a part of an undefinable whole. The viewer is invited to explore these connections by assembling them in any desired order. E unum pluribus Many within One Slavko Djuric (b.1979, Yugoslavia) is a multidisciplinary artist trained in traditional printmaking under the mentorship of prof. Zoran Marjanovic at the University of Art in Pristina, Serbia. His practice spans from drawing and photography to artist books and site specific installations. Slavko Djuric His recent work explores the interchangeable and fluctuating structures of his art objects. He is a receiver of a Scholarship for Advanced Studies in Book Arts for 2019 at the Center for Book Arts, NYC.",,"['https://centerforbookarts.org/wp-content/uploads/2023/06/IMG_9865-1-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/06/IMG_4152-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/06/IMG_4225-1-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/06/IMG_4183-scaled.jpg']",,10,Unbound,
35,,2023.0,Enlisting Whitman and Emerson,Angela Lorenz,650.0,8 x 10.5 inches,"['Two color risograph', 'Letterpress', 'Mohawk Superfine']","Enlisting Whitman – A Pro Memoria Game for Emerson and Whitman Leaves of Grass Printed in the studios of Center for Book Arts by Roni Gross. About the Artist Visual artist Angela Lorenz (b. USA) resides in New England with annual stays in Bologna, Italy. Her work centers on material culture, visual culture and language, and uses humor as a mnemonic to aid memory. Lorenz’s watercolors, prints, multiples, mosaics and artist’s books live in over 100 public collections in the US and abroad, and have been widely exhibited. Angela Lorenz",,"['https://centerforbookarts.org/wp-content/uploads/2023/06/whitman.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/06/IMG_3307-scaled.jpg']",Center for Book Arts,75,,
36,,2023.0,Into the Bookbinding Jungle,Sheryl Oppenheim,600.0,8 x 10 inches,"['Letterpress', 'Four color risograph', 'Mohawk superfine ']","This edition translates Oppenheim’s recent rainbow collages into a combination of two new (to her practice) printmaking techniques. The risograph under-layer is created from three hand painted images layered together to create a rainbow. The black letterpress print on top is made from an image of a collage of screenprints of marbled paper (how is that for a visual game of telephone?) that has been reworked to create areas of space where it is possible to see through to the under-layer only. The narrative of the print is of a smiling bookbinder—or aspiring bookbinder—entering the magical jungle of bookbinding. Printed by Allison Carter-Beaulé at Center for Book Arts. About the Artist Sheryl Oppenheim was born in 1983 and raised in Orlando, Florida. She is a painter, paper marbler, and maker of illegible books, an idea she first became interested in after seeing the work of Bruno Munari, and through her proximity to books, bookbinders, and marbled paper at her first job in New York, at a bookbinding supply house. She began marbling paper in 2011 and began learning Suminagashi in 2016. Her artist books and prints are included in public collections including the Metropolitan Museum of Art’s Watson Library, the Museum of Modern Art, the Walker Art Center, the New York Public Library, the Brooklyn Museum, and the National Museum of Women in the Arts. She has participated in recent exhibitions at the Minnesota Center for Book Arts, Sadie Halie Projects, Deanna Evans Projects, International Print Center New York, Small Editions, and the Cranbrook Museum of Art. Oppenheim received her BA from Brandeis University and her MFA from Temple University’s Tyler School of Art. She lives and works in New York City.",,['https://centerforbookarts.org/wp-content/uploads/2023/05/oppenheim1-scaled.jpg'],Center for Book Arts,75,,
37,,,Mom’s Magnets,Sunny Leerasanthanah,,,,"Mom’s Magnets is Sunny Leerasanthanah’s documentation of her mother’s collection of magnets—some bought, some gifted—from around the world. Leerasanthanah is interested in souvenir magnets as a reduction of culture, place, people, heritage, and politics to commodified kitsch. In the book, patterns and symbols reveal the homogenous representations of marketable icons. The book contemplates the attempt to embody and possess a time and place; a theme that resonates with Leerasanthanah’s other work.",,['https://centerforbookarts.org/wp-content/uploads/2023/06/Moms-Magnets-Spread-with-Cover-scaled.jpg'],,,,
38,1.0,2023.0,Endless night – where are we now,Kyung Eun You,10.0,8.25 x 11 inches,['Letterpress printed'],"Endless night is one of the images in artists’ book “where are we now” published by Women’s Studio Workshop in 2019. This polymer print is specially made for RISD library project 2023 in a class instructed by Dan Wood. It is printed by Yesuk Seo. All prints in an edition and odd numbers of artist’s proofs were printed on white paper, and even number of artist’s proofs were printed on gray paper. Endless night",,['https://centerforbookarts.org/wp-content/uploads/2023/06/00BC0EDD-D05C-416C-A91E-9981317A6321-scaled-e1686250207856.jpeg'],Self Published,15,,
39,,2023.0,We Are Rain,Harry Josephine Giles,20.0,11 x 17 inches,['Risograph printed on 100lb Crescent Crest paper.'],"We Are Rain is a poem by Harry Josephine Giles, and designed and produced by Eva Parra for 2023 Spring Broadside Reading Series Human Artifacts curated by Allison Parrish.",,['https://centerforbookarts.org/wp-content/uploads/2023/05/Scan-2-1-scaled.jpeg'],Center for Book Arts,100,Broadside,
40,1.0,2023.0,The ABC Model of Flower Development,Everest Pipkin,20.0,8.5 x 11 inches,['Letterpress and risograph printed on carbonless paper.'],"The ABC Model of Flower Development is a poem by Everest Pipkin, and designed and produced by Caslon Yoon for 2023 Spring Broadside Reading Series Human Artifacts curated by Allison Parrish.",,['https://centerforbookarts.org/wp-content/uploads/2023/05/The-ABC-Model-of-Flower-Development_Image-2-scaled.jpg'],Center for Book Arts,100,Broadside,
41,1.0,2023.0,Alive In The Radio and Bluff,Lillian-Yvonne Bertram,20.0,11 x 17 inches,['Three color risograph printed broadside.'],"Alive In The Radio and Bluff is a poem by Lillian-Yvonne Bertram, and designed and produced by Valentina Améstica for 2023 Spring Broadside Reading Series Human Artifacts curated by Allison Parrish.",,"['https://centerforbookarts.org/wp-content/uploads/2023/05/Scan-3-1-scaled.jpeg', 'https://centerforbookarts.org/wp-content/uploads/2023/05/Scan-4-1-scaled.jpeg', 'https://centerforbookarts.org/wp-content/uploads/2023/05/Scan-6-1-scaled.jpeg', 'https://centerforbookarts.org/wp-content/uploads/2023/05/Scan-5-1-scaled.jpeg']",Center for Book Arts,100,Broadside,
42,1.0,2023.0,When I Say Your Name,Valentina Améstica,20.0,11 x 17 inches,['Three color risograph printed broadside.'],When I Say Your Name is a broadside by K-Allado McDowell designed and produced by Valentina Améstica for 2023 Spring Broadside Reading Series Human Artifacts curated by Allison Parrish.,,['https://centerforbookarts.org/wp-content/uploads/2023/05/Valentina-Améstica-_-K-McDowell-scaled.jpg'],Center for Book Arts,100,Broadside,
43,1.0,2023.0,AI Generated Utopia Selector,Kelli Anderson,20.0,11 x 17 inches,['Two color risograph and xerox printed broadside.'],AI Generated Utopia Selector is a broadside by Janelle Shane designed and produced by Kelli Anderson for 2023 Spring Broadside Reading Series Human Artifacts curated by Allison Parrish. AI Generated Utopia Selector  Human Artifacts ,,"['https://centerforbookarts.org/wp-content/uploads/2023/05/IMG_4283-copy-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/05/IMG_4283-copy-scaled.jpg']",Center for Book Arts,100,Broadside,
44,,2023.0,All Power to the People!,,60.0,17 x 20.5 inches,"['Two Color Letterpress Print', 'On Awagami Paper']","All Power to the People is a letterpress print by the artist and designer Athos Argue. Printed in 2023 in Center for Book Arts; studios, this artwork is printed on a beautiful awagami paper with a natural deckle. Signed and numbered.",,"['https://centerforbookarts.org/wp-content/uploads/2023/05/powertothepeople-1-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/05/powertothepeople-scaled.jpg']",Athos Argue,40,,
45,140.0,2023.0,Publishing now: GenderFail’s working class guide to making a living off self publishing,Be Oakley,26.0,,,We aren’t taught anything about actually finding ways to make a living being an artist from art school. It’s bullshit especially when you think about the debt working class and low-income are getting into for the off chance of making their dreams a reality. I found a way to make a living off my publishing platform GenderFail and in this publication I share how I think that happened. This is the professional practices or guide I wish I had when I first started out. Ed by Be Oakley,,['https://centerforbookarts.org/wp-content/uploads/2023/05/23-05-15-publishing-now.jpeg'],Gender Fail,2nd,Perfect Bound Softcover,
46,84.0,2023.0,BAR Subscription,Ollie Gapper,,7 x 10 inches,"['Issue 1: Risograph and Letterpress', 'Issue 2: Offset Risograph Digital and Letterpress', 'Issue 3']","Subscribe or renew your subscription to BAR today for nearly 50% off the cover price! Book Art Review (BAR) is a semiannual magazine dedicated to providing a forum for critical writing about book art and artist books. Book Art Review Book Art Review is published twice per year, with the first issue launching in Spring 2022. We want to raise the bar for book art criticism! BAR is our plan to make book art criticism more visible and more valuable, and to engage with a diverse group of writers and readers. Our launching manifesto calls for “New Book Art Criticism,” and in building that, our magazine will showcase a new kind of writing about artist books, one that focuses on the material, paginated, object qualities of the book. Book Art Review For subscribers who are renewing, we’ve got you covered. Your BAR subscription will pick up exactly where you left off. Thank you for subscribing to Book Art Review. Book Art Review Sold Out! Features BAR Deirdre Lawrence Kinohi Nishikawa Reviews K is for Kato Nicole Kaack Self Hipnosis Living Mountain Meghan Forbes Mluvící pásmo Where the Birds Never Sing Sold Out! Features Matvei Yankelevich Paige Landesberg Oscar Salguero Reviews Jennie Hinchcliff Deep Time Deep Time Katy Nelson Utopia Myopia Tender Noted Tender Noted Vivian Sming Separadores/Bookmarks Allie Haeusslein  Houseplants Houseplants",,"['https://centerforbookarts.org/wp-content/uploads/2022/08/IMG_3336-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2022/08/BAR-Front_Cover-2022-scaled.jpg', 'https://centerforbookarts.org/wp-content/uploads/2022/08/Scan-1-scaled.jpeg', 'https://centerforbookarts.org/wp-content/uploads/2021/01/BAR-manifesto-01.svg']",Center for Book Arts,500 in the first printing,Perfect Bound Softcover,ISSN 2831-5316
47,1.0,2023.0,A language act,Amira Hanafi,20.0,14 x 8.5 inches,"['Risograph', ""100lb Crane's Crest""]","A language act is Amira Hanafi’s open invitation to contribute to a crowd translation of the English Language Unity Act of 2019, a proposed piece of legislation that would establish English as the official language of the United States. The original text of the bill was posted in its entirety on Google Docs and remains open to the public for edits. More information about this and other projects can be found on Amira Hanafi’s website. A language act English Language Unity Act Amira Hanafi’s website This broadside reflects the living document as of April 2023. It was designed and printed risograph in an edition of 100 by Allison Carter-Beaulé in honor of the artist’s reading during the Spring 2023 Broadside Series, Human Artifacts, curated by Allison Parrish. Human Artifacts, The broadside text is set in Times, printed five-color risograph on legal-sized paper.",,['https://centerforbookarts.org/wp-content/uploads/2023/05/amira-scaled.jpg'],Center for Book Arts,100,Broadside,
48,108.0,2022.0,CHEAP COPIES!,,30.0,8 x 10 inches,"['Multi-color printed using silk-screen and inkjet', 'manilla envelope with materials to make your own stencil']","Before Social Media, There Were Cheap Copies. Did you ever wonder how artists and writers made zines and chapbooks before computers and photocopiers? This book is the culmination of over a decade of experiments, research, and tinkering with pre-digital duplication technology. It’s a DIY guide that explains the history and how-to of the mimeograph, hectograph, and spirit duplicators that were used by the avant-garde, political radicals, wannabe publishers, low-brow artists, and—perhaps most famously—by early zine makers. In addition to the how-to manual, the book is also a meditation on technology, highbrow vs lowbrow art, and rediscovering freedom in the non-digital world. This book is packed with info, instructions, illustrations, and reference material that will help you get started printing zines, posters, flyers, stickers, and more, without fancy equipment or expensive supplies. What the HELL are mimeos and hectos? Is a Spirit Duplicator some weird religious thing? The printing techniques featured in the book include low-cost, common “copying” methods that require little or no specialized training or equipment. Hectography Hecto appeared in the 1870s and was used widely for making office or school copies. It’s an amazingly simple technology, requiring no mechanical devices. By mixing gelatin and glycerin, you can make a printing pad that can produce 40 copies, be wiped clean, and be used again and again. Spirit Duplication An offshoot of hectography, spirit duplicator machines are a type of tabletop cylinder press. The master sheet is wrapped around a drum, which is hand-cranked or motorized. Known as “Ditto Machines, ” they make purple copies with an intoxicating smell loved by schoolkids everywhere. Mimeography Mimeos are stencil duplicators that can still be found second-hand, or you can make your own! Similar to silkscreen or Riso printing, mimeo offers a broad range of color choices and can print many more copies than the spirit method.",,"['https://centerforbookarts.org/wp-content/uploads/2023/03/CheapCopies1__95727.jpeg', 'https://centerforbookarts.org/wp-content/uploads/2023/03/CheapCopies2__07978.jpeg', 'https://centerforbookarts.org/wp-content/uploads/2023/03/CheapCopies6__65238.jpeg', 'https://centerforbookarts.org/wp-content/uploads/2023/03/CheapCopies3__63921.jpeg']",Obsolete Press,unlimited,Wire-o Softcover,
49,,2014.0,Language To Cover A Page,Kristen Mueller,,6.3 x 9 inches,,"With “Language to Cover a Page,” Mueller has carefully aligned excerpts from disparate books—with differing typefaces intact—into two evolving pages. These pages crescendo before our very eyes, a flipbook of accumulating meaning, where with the passing of every page the narrative becomes aware of its own developing presence.",,"['https://centerforbookarts.org/wp-content/uploads/2023/01/language_to_cover_a_page_kristen_mueller_COVER_1.-Bild.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/01/language_to_cover_a_page_kristen_mueller_7.jpg', 'https://centerforbookarts.org/wp-content/uploads/2023/01/language_to_cover_a_page_kristen_mueller_6.jpg']",Center for Book Arts,800,Perfect bound offset,
